partida_id,clube,cartao,atleta,posicao,minuto
5020,Sport,Amarelo,Wendel Geraldo Maurício e Silva,Meio-campo,45+1
5021,Gremio,Amarelo,Marcelo Grohe,Goleiro,53
5022,Vasco,Amarelo,Diguinho,Meio-campo,78
5023,Corinthians,Amarelo,Danilo Gabriel de Andrade,,74
5023,Corinthians,Amarelo,Carlos Gilberto do Nascimento Silva,Zagueiro,68
5023,Corinthians,Amarelo,Ralf de Souza Teles,Meio-campo,38
5023,Palmeiras,Amarelo,Jorge Valdivia,Meio-campo,79
5023,Palmeiras,Amarelo,Egídio de Araújo Pereira Júnior,Zagueiro,45
5024,Internacional,Amarelo,Alisson Farias,,87
5024,Internacional,Amarelo,Lisandro López,Atacante,37
5025,Flamengo,Amarelo,Eduardo da Silva,,90+4
5025,Flamengo,Amarelo,Bressan,Zagueiro,55
5025,Flamengo,Amarelo,Éverton Cardoso da Silva,Meio-campo,23
5025,Fluminense,Amarelo,Diego Cavalieri,Goleiro,67
5025,Fluminense,Amarelo,Vinícius,Meio-campo,28
5026,Figueirense,Amarelo,Carlos Alberto Gomes de Jesus,,79
5026,Cruzeiro,Amarelo,Henrique Pacheco Lima,Meio-campo,70
5026,Cruzeiro,Amarelo,Charles Fernando Basílio da Silva,,49
5026,Cruzeiro,Amarelo,Leandro Damião,Atacante,30
5024,Sao Paulo,Vermelho,Reinaldo Manoel da Silva,Zagueiro,90+1
5025,Fluminense,Vermelho,Giovanni,Zagueiro,50
5029,Joinville,Amarelo,Welinton Júnior,Meio-campo,37
5029,Joinville,Amarelo,Marcelo Costa,Meio-campo,18
5030,Sao Paulo,Amarelo,Rogério Ceni,Goleiro,45+4
5030,Sao Paulo,Amarelo,Denílson Pereira Neves,Meio-campo,45
5030,Santos,Amarelo,Werley Ananias da Silva,Zagueiro,77
5030,Santos,Amarelo,Ricardo Oliveira,Atacante,59
5031,Cruzeiro,Amarelo,Bruno Rodrigo,Zagueiro,54
5031,Flamengo,Amarelo,Éverton Cardoso da Silva,Meio-campo,31
5032,Avai,Amarelo,Anderson Lopes,Atacante,69
5032,Avai,Amarelo,Renan Martins Pereira,Meio-campo,45+1
5032,Atletico-MG,Amarelo,Rafael de Souza Pereira,Meio-campo,56
5033,Gremio,Amarelo,Walace,Meio-campo,84
5033,Corinthians,Amarelo,Vágner Love,,90+3
5033,Corinthians,Amarelo,Bruno Henrique Corsini,Meio-campo,21
5027,Figueirense,Amarelo,Fabinho,Meio-campo,80
5027,Figueirense,Amarelo,Clayton da Silveira da Silva,Atacante,53
5028,Vasco,Amarelo,Gilberto Oliveira Souza Junior,Atacante,87
5028,Ponte Preta,Amarelo,Borges,,77
5028,Ponte Preta,Amarelo,Felipe Azevedo,Meio-campo,14
5029,Chapecoense,Amarelo,Dener Assunção Braz,Zagueiro,83
5029,Joinville,Amarelo,Tiago Luís Martins,,63
5028,Vasco,Vermelho,Jordi,Goleiro,29
5029,Joinville,Amarelo,Anselmo de Moraes,Meio-campo,43
5029,Joinville,Amarelo,Héracles Paiva Aguiar,Zagueiro,22
5030,Sao Paulo,Amarelo,Paulo Miranda,Zagueiro,66
5030,Sao Paulo,Amarelo,Renan Ribeiro,,45+4
5030,Sao Paulo,Amarelo,Michel Bastos,Meio-campo,24
5030,Santos,Amarelo,Lucas Otávio,Meio-campo,68
5031,Cruzeiro,Amarelo,Fábio Deivson Lopes Maciel,Goleiro,90
5031,Flamengo,Amarelo,Luiz Antônio de Souza Soares,,90+1
5031,Flamengo,Amarelo,Alecsandro,Atacante,28
5032,Avai,Amarelo,Antonio Carlos Capocasali,Zagueiro,55
5032,Atletico-MG,Amarelo,Maicosuel,,71
5032,Atletico-MG,Amarelo,Leonardo Silva,Zagueiro,38
5033,Gremio,Amarelo,Yuri Mamute,Atacante,16
5033,Corinthians,Amarelo,Carlos Gilberto do Nascimento Silva,Zagueiro,32
5027,Athletico-PR,Amarelo,Jadson,,85
5027,Figueirense,Amarelo,Leandro Silva,Zagueiro,60
5027,Figueirense,Amarelo,Carlos Alberto Gomes de Jesus,Meio-campo,34
5028,Vasco,Amarelo,Pablo Guiñazú,Meio-campo,62
5028,Ponte Preta,Amarelo,Pablo Castro,Zagueiro,22
5029,Chapecoense,Amarelo,Francinilson Santos Meirelles,,86
5029,Chapecoense,Amarelo,Wagner Ricardo Silva da Silva,Meio-campo,24
5028,Vasco,Vermelho,Gilberto Oliveira Souza Junior,Atacante,87
5030,Santos,Vermelho,Marquinhos,,87
5034,Coritiba,Amarelo,Luccas Claro,Zagueiro,90+3
5034,Coritiba,Amarelo,Thiago Galhardo,Meio-campo,58
5035,Sport,Amarelo,Joelinton Cassio Apolinário de Lira,Atacante,54
5035,Goias,Amarelo,Bruno Henrique,Atacante,90+3
5035,Goias,Amarelo,Felipe Menezes,Meio-campo,59
5036,Palmeiras,Amarelo,Lucas Rios Marques,Zagueiro,68
5036,Internacional,Amarelo,Artur,Zagueiro,74
5036,Internacional,Amarelo,Alex Raphael Meschini,Meio-campo,0
5034,Fluminense,Amarelo,Edson Felipe da Cruz,Meio-campo,90
5034,Coritiba,Amarelo,João Paulo Silva,Meio-campo,83
5034,Coritiba,Amarelo,Hélder,Meio-campo,55
5035,Sport,Amarelo,Diego Souza,Meio-campo,44
5035,Goias,Amarelo,Péricles da Silva Nunes,,90+2
5035,Goias,Amarelo,Rafael Forster,Zagueiro,41
5036,Internacional,Amarelo,Alisson Becker,Goleiro,90+3
5036,Internacional,Amarelo,Anderson Luís de Abreu Oliveira,,63
5039,Santos,Amarelo,Daniel Guedes,Zagueiro,82
5039,Ponte Preta,Amarelo,Fernando Paixão da Silva,Meio-campo,74
5040,Athletico-PR,Amarelo,Walter Henrique da Silva,Atacante,86
5040,Athletico-PR,Amarelo,Weverton Pereira da Silva,Goleiro,75
5040,Vasco,Amarelo,Emanuel Biancucchi,Meio-campo,79
5040,Vasco,Amarelo,Julio dos Santos,Meio-campo,39
5041,Corinthians,Amarelo,Cássio Ramos,Goleiro,90+4
5042,Sao Paulo,Amarelo,Luís Fabiano,Atacante,51
5042,Gremio,Amarelo,Marcelo Oliveira Ferreira,Zagueiro,55
5038,Chapecoense,Vermelho,Vilson Xavier de Menezes Júnior,Zagueiro,63
5038,Flamengo,Amarelo,Marcelo Cirino da Silva,Meio-campo,80
5039,Santos,Amarelo,Lucas Rafael Araújo Lima,Meio-campo,47
5039,Ponte Preta,Amarelo,Gilson Gomes do Nascimento,Zagueiro,60
5040,Athletico-PR,Amarelo,Nikão,Meio-campo,83
5040,Athletico-PR,Amarelo,Carlos Eduardo Santos Oliveira,Zagueiro,22
5040,Vasco,Amarelo,Lucas Santos Siqueira,Meio-campo,58
5041,Joinville,Amarelo,Willian Popp,Meio-campo,23
5042,Sao Paulo,Amarelo,Josef de Souza Dias,Meio-campo,57
5042,Sao Paulo,Amarelo,Denílson Pereira Neves,Meio-campo,48
5042,Gremio,Amarelo,Fellipe Bastos,Zagueiro,26
5043,Internacional,Amarelo,Rodrigo Dourado,Meio-campo,82
5043,Internacional,Amarelo,Anderson Luís de Abreu Oliveira,Meio-campo,78
5043,Coritiba,Amarelo,Henrique Gelain Custodio,Zagueiro,90+2
5043,Coritiba,Amarelo,Norberto Pereira Marinho Neto,Zagueiro,52
5043,Coritiba,Amarelo,Fabricio Santos de Jesus,Meio-campo,13
5044,Figueirense,Amarelo,Marcos Roberto da Silva Barbosa,Zagueiro,69
5044,Palmeiras,Amarelo,Ayrton Ganino,Zagueiro,90+3
5044,Palmeiras,Amarelo,Kelvin Mateus de Oliveira,Meio-campo,26
5045,Goias,Amarelo,Alex Alves Cardoso,Zagueiro,67
5045,Avai,Amarelo,Jeci,Zagueiro,78
5045,Avai,Amarelo,Antonio Carlos Capocasali,Zagueiro,33
5046,Fluminense,Amarelo,Wellington do Nascimento Silva,,88
5046,Sport,Amarelo,Matheus Ferraz Pereira,Zagueiro,83
5043,Internacional,Amarelo,Lisandro López,Atacante,79
5043,Internacional,Amarelo,Victor Vinícius Coelho Santos,Meio-campo,27
5043,Coritiba,Amarelo,Ruy Franco de Almeida Junior,Meio-campo,73
5043,Coritiba,Amarelo,Thiago Galhardo,Meio-campo,30
5044,Figueirense,Amarelo,Marcos Assis de Santana,Atacante,88
5044,Figueirense,Amarelo,Paulo Roberto da Silva,Meio-campo,10
5044,Palmeiras,Amarelo,Egídio de Araújo Pereira Júnior,Zagueiro,60
5045,Goias,Amarelo,Jarlan Pinheiro da Silva,,89
5045,Avai,Amarelo,Rômulo,,90+5
5045,Avai,Amarelo,Eduardo Neto,Meio-campo,70
5046,Fluminense,Amarelo,Marcos Júnior,,90+3
5046,Fluminense,Amarelo,Wagner Ferreira dos Santos,Meio-campo,84
5046,Sport,Amarelo,Renê Rodrigues Martins,Zagueiro,47
5043,Internacional,Vermelho,Lisandro López,Atacante,80
